Species	Symbol	Gene_ID
Arabidopsis_thaliana	anac028	AT1G65910
Arabidopsis_thaliana	RGL	AT1G66350
Arabidopsis_thaliana	AtRHD6	AT1G66470
Arabidopsis_thaliana	ATWRKY67	AT1G66550
Arabidopsis_thaliana	ATWRKY67	AT1G66550
Arabidopsis_thaliana	ATWRKY64	AT1G66560
Arabidopsis_thaliana	ABO3	AT1G66600
Arabidopsis_thaliana	LBD40	AT1G67100
Arabidopsis_thaliana	TCP1	AT1G67260
Arabidopsis_thaliana	TCP1	AT1G67260
Arabidopsis_thaliana	AT-HSFA8	AT1G67970
Arabidopsis_thaliana	ATBPC3	AT1G68120
Arabidopsis_thaliana	ATWRKY9	AT1G68150
Arabidopsis_thaliana	LBD42	AT1G68510
Arabidopsis_thaliana	PAN	AT1G68640
Arabidopsis_thaliana	BRC2	AT1G68800
Arabidopsis_thaliana	ABS5	AT1G68810
Arabidopsis_thaliana	AtbZIP	AT1G68880
Arabidopsis_thaliana	bHLH49	AT1G68920
Arabidopsis_thaliana	bHLH49	AT1G68920
Arabidopsis_thaliana	bHLH49	AT1G68920
Arabidopsis_thaliana	BIM2	AT1G69010
Arabidopsis_thaliana	AtSPL6	AT1G69170
Arabidopsis_thaliana	CRC	AT1G69180
Arabidopsis_thaliana	ATWRKY57	AT1G69310
Arabidopsis_thaliana	ATWRKY57	AT1G69310
Arabidopsis_thaliana	ANAC029	AT1G69490
Arabidopsis_thaliana	CDF5	AT1G69570
Arabidopsis_thaliana	ATHB29	AT1G69600
Arabidopsis_thaliana	AtTCP15	AT1G69690
Arabidopsis_thaliana	ATWRKY36	AT1G69810
Arabidopsis_thaliana	bHLH160	AT1G71200
Arabidopsis_thaliana	ATWHY2	AT1G71260
Arabidopsis_thaliana	ANAC030	AT1G71930
Arabidopsis_thaliana	AtTCP22	AT1G72010
Arabidopsis_thaliana	bHLH096	AT1G72210
Arabidopsis_thaliana	ATHAP2C	AT1G72830
Arabidopsis_thaliana	ATHAP2C	AT1G72830
Arabidopsis_thaliana	ATHAP2C	AT1G72830
Arabidopsis_thaliana	LBD7	AT1G72980
